id,show_name,season_number,episode_number,episode_title,overview,air_date,runtime_min,tmdb_episode_rating,episode_vote_count,still_path,still_file,season_poster_path,season_poster_file,tmdb_show_id,tmdb_episode_id,show_genres,show_genre_ids,directors,writers,guest_stars_top5,match_status
KTH001,King of the Hill,2,1,How to Fire a Rifle Without Really Trying,"When Bobby discovers the one sport he is good at, marksmanship, he and Hank decide to enter a father & son tournament. As it turns out Hank is a terrible marksman.",1997-09-21,22,7.2,5,/oSl52rCTfbMHlH3SjGC6Cgo7VKs.jpg,KTH001.jpg,/nAB3XAV9UqAIkQX0T0T724hFOJ2.jpg,2122-S02.jpg,2122,147683,"Animation, Comedy, Family","16, 35, 10751",Adam Kuhlman,Paul Lieberstein,"Angela Kinsey, Wallace Shawn, David Herman",matched (episode pull)
KTH002,King of the Hill,2,2,Texas City Twister,"Luanne moves back into her home, a trailer, just as a twister is about to hit.",1997-09-26,22,8.5,6,/eFYQKxCnUTnjAyGvbRtgJCsmtKT.jpg,KTH002.jpg,/nAB3XAV9UqAIkQX0T0T724hFOJ2.jpg,2122-S02.jpg,2122,147685,"Animation, Comedy, Family","16, 35, 10751",Jeff Myers,Cheryl Holliday,"Maurice LaMarche, Neil Giuntoli, Cheryl Holliday",matched (episode pull)
KTH003,King of the Hill,2,3,Arrow Head,"After Hank finds an arrow head in his lawn, Peggy gives a archaeologist permission to have an archaeological dig their yard.",1997-10-19,22,6.8,5,/oRMt6WphDvlWSBlux09BS7cGQb2.jpg,KTH003.jpg,/nAB3XAV9UqAIkQX0T0T724hFOJ2.jpg,2122-S02.jpg,2122,147686,"Animation, Comedy, Family","16, 35, 10751",Klay Hall,"Jonathan Aibel, Glenn Berger","Maurice LaMarche, Jonathan Joss",matched (episode pull)
KTH004,King of the Hill,2,4,Hilloween,Hank is excited about Halloween until someone complains and has the holiday canceled.,1997-10-26,22,7.667,6,/tjV13PcsBmqXT2Shmqso5TPbuHN.jpg,KTH004.jpg,/nAB3XAV9UqAIkQX0T0T724hFOJ2.jpg,2122-S02.jpg,2122,147687,"Animation, Comedy, Family","16, 35, 10751",John Rice,David Zuckerman,"Sally Field, David Herman, Dennis Burkley, Neil Giuntoli, David Zuckerman",matched (episode pull)
KTH005,King of the Hill,2,5,"Jumpin' Crack Bass (It's a Gas, Gas, Gas)","In an effort to catch more fish than his friends, Hank decides to buy special ""bait"" from a street vendor. He soon finds himself in trouble with the law.",1997-11-02,22,7.8,5,/kerkpWmE2Ywl5KS1qJUjnMaAp6P.jpg,KTH005.jpg,/nAB3XAV9UqAIkQX0T0T724hFOJ2.jpg,2122-S02.jpg,2122,147688,"Animation, Comedy, Family","16, 35, 10751",Gary McCarver,"Alan R. Cohen, Alan Freedland","Dan Butler, James Carville, Brent Forrester",matched (episode pull)
KTH006,King of the Hill,2,9,The Company Man,Hank struggles to portray himself and his life as that of a stereotypical Texan cowboy's for a Hollywood cowboy movie fan in order to secure a business deal for Strickland Propane.,1997-12-07,22,5.375,8,/wg9sI5qsBdnVO77BJlyo5mKBzd1.jpg,KTH006.jpg,/nAB3XAV9UqAIkQX0T0T724hFOJ2.jpg,2122-S02.jpg,2122,147693,"Animation, Comedy, Family","16, 35, 10751",Klay Hall,Jim Dauterive,"Billy West, Stockard Channing, Burt Reynolds",matched (episode pull)
KTH007,King of the Hill,2,12,Meet the Manger Babies,"After seeing that Luanne is depressed, Hank volunteers to buy her some hand puppets at a rummage sale. Luanne starts doing a Christian puppet show, The Manger Babies. Hank agrees to play God in the televised version of the puppet show. When it turns out that the show will be on at the same time as the Super Bowl, Hank has to choose between helping Luanne or watching the game.",1998-01-11,22,7.0,5,/bhkvQORSO3UjKKmCyqulK9uH6Dp.jpg,KTH007.jpg,/nAB3XAV9UqAIkQX0T0T724hFOJ2.jpg,2122-S02.jpg,2122,147708,"Animation, Comedy, Family","16, 35, 10751",Jeff Myers,,"Maurice LaMarche, Debi Derryberry, Troy Aikman, Peabo Bryson",matched (episode pull)
KTH008,King of the Hill,2,13,Snow Job,"When Hank's boss, Buck Strickland, has another heart attack, Hank expects to be put in charge of the company while Buck is recuperating. Instead Buck picks Lloyd Vickers, a business-school graduate, and puts Hank in charge of feeding his dogs. At Buck's house, Hank discovers that Buck's stove is electric, not propane. Realizing that Buck is just in propane for the money, Hank considers leaving the propane business and opening up a general store instead.",1998-02-01,22,7.75,4,/ulqypdwoM4iFoJn3RBfycgmLxlh.jpg,KTH008.jpg,/nAB3XAV9UqAIkQX0T0T724hFOJ2.jpg,2122-S02.jpg,2122,147711,"Animation, Comedy, Family","16, 35, 10751",Adam Kuhlman,,"David Herman, Dennis Burkley, Cheryl Holliday",matched (episode pull)
KTH009,King of the Hill,2,14,I Remember Mono,"On Valentine's Day, Peggy finds out that Hank lied to her when they were dating: he told her he was at home one week with a football injury, when he actually got mono from kissing another girl. She sets out to uncover the whole truth, and finds herself face to face with the past.",1998-02-08,22,7.25,4,/viDIfdl1oTjbP4DZcz7i4hu1sgH.jpg,KTH009.jpg,/nAB3XAV9UqAIkQX0T0T724hFOJ2.jpg,2122-S02.jpg,2122,147713,"Animation, Comedy, Family","16, 35, 10751",Wes Archer,Paul Lieberstein,"Kerri Strug, Jennifer Jason Leigh, Joanna Gleason, Mark Humphrey, Alex Dent",matched (episode pull)
KTH010,King of the Hill,2,15,Three Days of the Kahndo,"Hank and his family go with Kahn and his family to spend a weekend in a duplex condo in Mexico. When Kahn discovers that only the bottom half of the condo has been rented, he breaks into the top half and lets Hank stay there. Dale shows up to stay with the Hills, and when Hank, Kahn and Dale are arrested for breaking into the upstairs condo, they have to sneak back across the border.",1998-02-15,22,8.333,3,/5sZHMrWeCPBsenYd1VHKASFbZqK.jpg,KTH010.jpg,/nAB3XAV9UqAIkQX0T0T724hFOJ2.jpg,2122-S02.jpg,2122,147717,"Animation, Comedy, Family","16, 35, 10751",Lauren MacMullan,,"Castulo Guerra, Paul Rodríguez, Alex Dent, Eloy Casados, Bertila Damas",matched (episode pull)
